departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural,linea_pobreza_total_soles,linea_pobreza_extrema_soles,gasto_real_soles,ingreso_real_soles,brecha_poder_adquisitivo,brecha_poder_adquisitivo_pct
HUÁNUCO,2021,967.1,7.1,38.8,8.1,40.9,6.1,36.7,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,659.552331542969,214.45531837452972
HUÁNUCO,2022,1142.7,11.05,41.35,12.3,43.3,9.8,39.4,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,802.226824951172,235.6211542469162
HUÁNUCO,2023,1399.3,9.15,41.85,10.5,43.8,7.8,39.9,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,1032.2243469238279,281.20207327115503
HUÁNUCO,2024,,11.3,41.75,12.8,44.0,9.8,39.5,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
HUÁNUCO,2025,,7.2,37.75,8.6,39.8,5.8,35.7,Sierra,,,,,,
ICA,2004,767.6,,,,,,,Costa,,,,,,
ICA,2005,787.6,,,,,,,Costa,,,,,,
ICA,2006,881.4,,,,,,,Costa,,,,,,
ICA,2007,704.8,0.4,25.35,0.7,27.2,0.1,23.5,Costa,,,,,,
ICA,2008,801.7,0.25,16.85,0.5,19.5,0.0,14.2,Costa,,,,,,
ICA,2009,895.4,,16.9,,18.6,,15.2,Costa,,,,,,
ICA,2010,924.0,0.2,15.7,0.4,17.2,0.0,14.2,Costa,,,,,,
ICA,2011,997.0,,11.8,,13.5,,10.1,Costa,,,,,,
ICA,2012,1022.9,,8.35,,10.2,,6.5,Costa,,,,,,
ICA,2013,1082.3,,4.55,,6.0,,3.1,Costa,,,,,,
ICA,2014,1187.1,0.25,4.1,0.4,5.7,0.1,2.5,Costa,,,,,,
