departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural
CUSCO,2010,775.7,10.25,48.8,11.9,50.9,8.6,46.7,Sierra
CUSCO,2011,888.4,7.15,28.5,8.2,30.6,6.1,26.4,Sierra
CUSCO,2012,973.6,5.65,26.45,6.6,28.5,4.7,24.4,Sierra
CUSCO,2013,1045.1,2.05,21.45,2.6,23.4,1.5,19.5,Sierra
CUSCO,2014,1081.2,2.2,21.2,2.8,23.2,1.6,19.2,Sierra
CUSCO,2015,1025.6,2.95,18.8,3.7,20.8,2.2,16.8,Sierra
CUSCO,2016,1144.6,1.9,22.65,2.5,24.7,1.3,20.6,Sierra
CUSCO,2017,1064.7,3.65,24.6,4.4,26.2,2.9,23.0,Sierra
CUSCO,2018,1189.0,3.1,23.1,3.6,24.6,2.6,21.6,Sierra
CUSCO,2019,1234.1,2.95,23.6,3.5,25.3,2.4,21.9,Sierra
CUSCO,2020,963.1,7.3,32.95,8.3,34.6,6.3,31.3,Sierra
CUSCO,2021,1057.0,3.55,20.9,4.2,22.8,2.9,19.0,Sierra
CUSCO,2022,1375.2,2.55,22.0,3.2,23.6,1.9,20.4,Sierra
CUSCO,2023,1416.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra
CUSCO,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Sierra
CUSCO,2025,,1.75,20.85,2.2,22.3,1.3,19.4,Sierra
HUANCAVELICA,2004,310.1,,,,,,,Sierra
HUANCAVELICA,2005,282.3,,,,,,,Sierra
HUANCAVELICA,2006,264.8,,,,,,,Sierra
HUANCAVELICA,2007,380.2,61.4,85.0,67.2,89.1,55.6,80.9,Sierra
HUANCAVELICA,2008,426.1,54.4,79.5,60.9,84.8,47.9,74.2,Sierra
HUANCAVELICA,2009,493.6,33.4,73.85,37.0,77.7,29.8,70.0,Sierra
